200, 400, 20
49, 0, 0, 41
49, 4, 0, 86
49, 390, 0, 44
49, 135, 0, 11
49, 265, 0, 76
49, 233, 0, 18
49, 363, 0, 51
49, 332, 0, 69
49, 11, 0, 60
49, 367, 0, 60
49, 48, 0, 48
49, 273, 0, 48
49, 19, 0, 29
49, 20, 0, 42
49, 23, 0, 13
49, 310, 0, 31
49, 375, 0, 80
49, 218, 0, 18
49, 289, 1, 75
49, 324, 1, 43
49, 197, 1, 77
49, 326, 1, 82
49, 356, 1, 85
49, 333, 1, 77
49, 334, 1, 68
49, 52, 1, 10
49, 277, 1, 97
49, 245, 1, 72
49, 22, 1, 59
49, 23, 1, 13
49, 379, 1, 36
49, 30, 1, 83
49, 2, 2, 97
49, 263, 2, 41
49, 395, 2, 35
49, 12, 2, 2
49, 273, 2, 48
49, 147, 2, 62
49, 280, 2, 85
49, 29, 2, 73
49, 40, 2, 93
49, 176, 2, 78
49, 188, 2, 57
49, 191, 2, 33
49, 320, 2, 89
49, 63, 2, 69
49, 201, 2, 35
49, 96, 2, 6
49, 360, 2, 33
49, 236, 2, 4
49, 369, 2, 98
49, 122, 2, 66
49, 162, 3, 86
49, 101, 3, 35
49, 281, 3, 41
49, 333, 3, 77
49, 112, 3, 67
49, 312, 3, 10
49, 217, 3, 70
49, 282, 3, 15
49, 284, 3, 32
49, 62, 3, 49
49, 128, 4, 6
49, 34, 4, 29
49, 36, 4, 27
49, 132, 4, 84
49, 43, 4, 61
49, 172, 4, 83
49, 140, 4, 35
49, 78, 4, 56
49, 335, 4, 16
49, 399, 4, 47
49, 116, 4, 78
49, 22, 4, 59
49, 152, 4, 90
49, 347, 4, 23
49, 254, 4, 32
49, 351, 4, 78
49, 33, 5, 65
49, 38, 5, 42
49, 13, 5, 98
49, 335, 5, 16
49, 86, 5, 12
49, 183, 5, 35
49, 186, 5, 68
49, 390, 6, 44
49, 41, 6, 10
49, 361, 6, 24
49, 115, 6, 95
49, 312, 6, 10
49, 4, 7, 86
49, 133, 7, 59
49, 166, 7, 22
49, 295, 7, 8
49, 27, 7, 24
49, 298, 7, 17
49, 333, 7, 77
49, 205, 7, 85
49, 275, 7, 73
49, 309, 7, 2
49, 23, 7, 13
49, 247, 7, 6
49, 124, 7, 72
49, 350, 7, 89
49, 191, 7, 33
49, 193, 8, 33
49, 305, 8, 37
49, 211, 8, 16
49, 246, 8, 41
49, 346, 8, 97
49, 252, 8, 16
49, 255, 8, 35
49, 163, 9, 79
49, 356, 9, 85
49, 227, 9, 41
49, 230, 9, 65
49, 7, 9, 88
49, 168, 9, 60
49, 37, 9, 3
49, 106, 9, 51
49, 171, 9, 77
49, 195, 9, 29
49, 74, 9, 3
49, 293, 9, 43
49, 111, 9, 53
49, 148, 9, 48
49, 183, 9, 35
49, 121, 9, 47
49, 282, 9, 15
49, 219, 9, 3
49, 288, 10, 19
49, 58, 10, 22
49, 197, 10, 77
49, 229, 10, 69
49, 186, 10, 68
49, 396, 10, 96
49, 271, 10, 76
49, 304, 10, 7
49, 81, 10, 12
49, 51, 10, 49
49, 372, 10, 25
49, 181, 10, 10
49, 87, 10, 59
49, 249, 10, 3
49, 282, 10, 15
49, 316, 10, 81
49, 191, 10, 33
49, 356, 11, 85
49, 262, 11, 71
49, 392, 11, 42
49, 396, 11, 96
49, 109, 11, 71
49, 375, 11, 80
49, 192, 12, 50
49, 96, 12, 6
49, 100, 12, 11
49, 164, 12, 31
49, 103, 12, 17
49, 328, 12, 36
49, 362, 12, 29
49, 364, 12, 69
49, 314, 12, 38
49, 14, 12, 6
49, 46, 12, 65
49, 303, 12, 96
49, 377, 12, 67
49, 346, 12, 97
49, 252, 12, 16
49, 129, 13, 23
49, 392, 13, 42
49, 14, 13, 6
49, 272, 13, 18
49, 148, 13, 48
49, 165, 13, 23
49, 166, 13, 22
49, 42, 13, 12
49, 320, 13, 89
49, 193, 13, 33
49, 66, 13, 23
49, 201, 13, 35
49, 329, 13, 14
49, 212, 13, 7
49, 92, 13, 2
49, 226, 13, 63
49, 236, 13, 4
49, 116, 13, 78
49, 122, 13, 66
49, 100, 14, 11
49, 233, 14, 18
49, 301, 14, 98
49, 275, 14, 73
49, 24, 14, 88
49, 57, 14, 62
49, 282, 14, 15
49, 157, 14, 50
49, 192, 15, 50
49, 227, 15, 41
49, 324, 15, 43
49, 325, 15, 30
49, 84, 15, 3
49, 134, 16, 60
49, 136, 16, 72
49, 171, 16, 77
49, 300, 16, 48
49, 364, 16, 69
49, 47, 16, 67
49, 18, 16, 53
49, 307, 16, 10
49, 244, 16, 73
49, 381, 16, 43
49, 185, 16, 82
49, 253, 16, 48
49, 259, 17, 99
49, 260, 17, 78
49, 393, 17, 37
49, 14, 17, 6
49, 143, 17, 18
49, 278, 17, 19
49, 155, 17, 27
49, 158, 17, 98
49, 287, 17, 79
49, 298, 17, 17
49, 188, 17, 57
49, 62, 17, 49
49, 323, 17, 59
49, 201, 17, 35
49, 339, 17, 57
49, 345, 17, 94
49, 103, 17, 17
49, 113, 17, 81
49, 117, 17, 55
49, 352, 18, 45
49, 224, 18, 36
49, 256, 18, 77
49, 259, 18, 99
49, 36, 18, 27
49, 389, 18, 14
49, 261, 18, 42
49, 71, 18, 55
49, 27, 18, 24
49, 298, 18, 17
49, 304, 18, 7
49, 210, 18, 34
49, 245, 18, 72
49, 183, 18, 35
49, 88, 18, 35
49, 251, 18, 43
49, 157, 18, 50
49, 94, 18, 91
49, 248, 19, 99
49, 64, 19, 14
49, 388, 19, 20
49, 298, 19, 17
49, 15, 19, 82
49, 147, 19, 62
49, 88, 19, 35
49, 316, 19, 81
49, 30, 19, 83
49, 31, 19, 90
49, 192, 20, 50
49, 231, 20, 27
49, 329, 20, 14
49, 170, 20, 6
49, 73, 20, 55
49, 330, 20, 24
49, 361, 20, 24
49, 91, 20, 22
49, 42, 20, 12
49, 265, 20, 76
49, 23, 20, 13
49, 216, 20, 38
49, 313, 20, 17
49, 347, 20, 23
49, 30, 20, 83
49, 196, 21, 51
49, 389, 21, 14
49, 166, 21, 22
49, 199, 21, 89
49, 75, 21, 94
49, 24, 21, 88
49, 359, 22, 13
49, 40, 22, 93
49, 175, 22, 83
49, 81, 22, 12
49, 59, 22, 60
49, 190, 22, 54
49, 161, 23, 3
49, 164, 23, 31
49, 301, 23, 98
49, 145, 23, 67
49, 147, 23, 62
49, 154, 23, 38
49, 64, 24, 14
49, 223, 24, 56
49, 39, 24, 73
49, 144, 24, 27
49, 305, 24, 37
49, 375, 24, 80
49, 282, 24, 15
49, 191, 24, 33
49, 98, 25, 71
49, 26, 25, 83
49, 324, 25, 43
49, 5, 25, 84
49, 134, 25, 60
49, 334, 25, 68
49, 335, 25, 16
49, 176, 25, 78
49, 179, 25, 81
49, 212, 25, 7
49, 52, 25, 10
49, 20, 25, 42
49, 343, 25, 91
49, 282, 25, 15
49, 188, 25, 57
49, 293, 26, 43
49, 205, 26, 85
49, 145, 26, 67
49, 337, 26, 21
49, 20, 26, 42
49, 340, 26, 73
49, 93, 26, 46
49, 318, 26, 28
49, 255, 26, 35
49, 2, 27, 97
49, 132, 27, 84
49, 144, 27, 27
49, 275, 27, 73
49, 292, 27, 80
49, 50, 27, 68
49, 52, 27, 10
49, 184, 27, 23
49, 186, 27, 68
49, 64, 27, 14
49, 198, 27, 31
49, 200, 27, 82
49, 207, 27, 99
49, 81, 27, 12
49, 341, 27, 37
49, 87, 27, 59
49, 96, 27, 6
49, 233, 27, 18
49, 252, 27, 16
49, 320, 28, 89
49, 192, 28, 50
49, 0, 28, 41
49, 261, 28, 42
49, 295, 28, 8
49, 169, 28, 16
49, 362, 28, 29
49, 9, 28, 91
49, 314, 28, 38
